time,V
614.04,4.21E-01
614.55,4.21E-01
615.06,4.21E-01
615.57,4.21E-01
616.08,4.21E-01
616.59,4.21E-01
617.1,4.21E-01
617.61,4.21E-01
618.12,4.21E-01
618.63,4.21E-01
619.14,4.21E-01
619.65,4.21E-01
620.16,4.21E-01
620.67,4.21E-01
621.18,4.20E-01
621.69,4.20E-01
622.2,4.20E-01
622.71,4.20E-01
623.22,4.20E-01
623.73,4.20E-01
624.24,4.20E-01
624.75,4.20E-01
625.26,4.20E-01
625.77,4.20E-01
626.28,4.20E-01
626.79,4.20E-01
627.3,4.20E-01
627.81,4.20E-01
628.32,4.19E-01
628.83,4.19E-01
629.34,4.19E-01
629.85,4.19E-01
630.36,4.19E-01
630.87,4.19E-01
631.38,4.19E-01
631.89,4.19E-01
632.4,4.19E-01
632.91,4.19E-01
633.42,4.19E-01
633.93,4.19E-01
634.44,4.19E-01
634.95,4.19E-01
635.46,4.19E-01
635.97,4.18E-01
636.48,4.18E-01
636.99,4.18E-01
637.5,4.18E-01
638.01,4.18E-01
638.52,4.18E-01
639.03,4.18E-01
639.54,4.18E-01
640.05,4.18E-01
640.56,4.18E-01
641.07,4.18E-01
641.58,4.18E-01
642.09,4.18E-01
642.6,4.18E-01
643.11,4.17E-01
643.62,4.17E-01
644.13,4.17E-01
644.64,4.17E-01
645.15,4.17E-01
645.66,4.17E-01
646.17,4.17E-01
646.68,4.17E-01
647.19,4.17E-01
647.7,4.17E-01
648.21,4.17E-01
648.72,4.17E-01
